model,split,layer,mean_norm
EleutherAI/deep-ignorance-e2e-strong-filter,forget,12,317.4220330649294
EleutherAI/deep-ignorance-e2e-strong-filter,forget,13,327.9697256728287
EleutherAI/deep-ignorance-e2e-strong-filter,forget,14,336.4257308352946
EleutherAI/deep-ignorance-e2e-strong-filter,forget,15,341.8972456370521
EleutherAI/deep-ignorance-e2e-strong-filter,forget,16,346.6306043359019
EleutherAI/deep-ignorance-e2e-strong-filter,forget,17,350.2296380935887
EleutherAI/deep-ignorance-e2e-strong-filter,forget,18,355.36907716178257
EleutherAI/deep-ignorance-e2e-strong-filter,forget,19,361.0328161179965
EleutherAI/deep-ignorance-e2e-strong-filter,forget,20,364.43338319446553
EleutherAI/deep-ignorance-e2e-strong-filter,forget,21,369.08360003701034
EleutherAI/deep-ignorance-e2e-strong-filter,forget,22,375.4038128938278
EleutherAI/deep-ignorance-e2e-strong-filter,forget,23,385.2183244405747
EleutherAI/deep-ignorance-e2e-strong-filter,forget,24,396.17250548037504
EleutherAI/deep-ignorance-e2e-strong-filter,forget,25,409.83627438885514
EleutherAI/deep-ignorance-e2e-strong-filter,forget,26,430.58571033726844
EleutherAI/deep-ignorance-e2e-strong-filter,forget,27,452.89040169251064
EleutherAI/deep-ignorance-e2e-strong-filter,forget,28,482.4361364304965
EleutherAI/deep-ignorance-e2e-strong-filter,forget,29,508.1006888428105
EleutherAI/deep-ignorance-e2e-strong-filter,forget,30,519.2123597878075
EleutherAI/deep-ignorance-e2e-strong-filter,forget,31,530.5938069389614
EleutherAI/deep-ignorance-e2e-strong-filter,forget,32,73.11769998772253
EleutherAI/deep-ignorance-e2e-strong-filter,forget,ALL_MEAN,297.3152022037089
EleutherAI/deep-ignorance-e2e-strong-filter,retain,0,1.5688018857004336
EleutherAI/deep-ignorance-e2e-strong-filter,retain,1,39.08734722151303
EleutherAI/deep-ignorance-e2e-strong-filter,retain,2,48.657546773230415
EleutherAI/deep-ignorance-e2e-strong-filter,retain,3,52.84060898990673
EleutherAI/deep-ignorance-e2e-strong-filter,retain,4,55.39005267905773
EleutherAI/deep-ignorance-e2e-strong-filter,retain,5,59.67903840862155
EleutherAI/deep-ignorance-e2e-strong-filter,retain,6,65.27176328394495
EleutherAI/deep-ignorance-e2e-strong-filter,retain,7,106.41026050177015
EleutherAI/deep-ignorance-e2e-strong-filter,retain,8,116.6314201360521
EleutherAI/deep-ignorance-e2e-strong-filter,retain,9,123.070311507126
EleutherAI/deep-ignorance-e2e-strong-filter,retain,10,130.87872533417303
EleutherAI/deep-ignorance-e2e-strong-filter,retain,11,137.7566727515659
EleutherAI/deep-ignorance-e2e-strong-filter,retain,12,145.92439250295024
EleutherAI/deep-ignorance-e2e-strong-filter,retain,13,153.74598396650327
EleutherAI/deep-ignorance-e2e-strong-filter,retain,14,159.85046055169752
EleutherAI/deep-ignorance-e2e-strong-filter,retain,15,164.3502677923021
EleutherAI/deep-ignorance-e2e-strong-filter,retain,16,168.5587232491376
EleutherAI/deep-ignorance-e2e-strong-filter,retain,17,170.9454363255719
EleutherAI/deep-ignorance-e2e-strong-filter,retain,18,174.86606881467864
EleutherAI/deep-ignorance-e2e-strong-filter,retain,19,179.591807796614
