name,layer,group,shape0,shape1,dW_fro,dW_stable_rank,W_stable_rank
gpt_neox.layers.2.mlp.dense_4h_to_h.weight,2,mlp,4096,16384,271.98736572265625,88.36257885789787,49.1708752752099
gpt_neox.layers.2.mlp.dense_h_to_4h.weight,2,mlp,16384,4096,314.0666809082031,48.441482065645594,31.003368793610232
gpt_neox.layers.20.attention.dense.weight,20,attn,4096,4096,140.54884338378906,534.607583034653,247.76276656614615
gpt_neox.layers.20.attention.query_key_value.weight,20,attn,12288,4096,255.71559143066406,189.45915404174755,107.557186103835
gpt_neox.layers.20.mlp.dense_4h_to_h.weight,20,mlp,4096,16384,272.01666259765625,694.8487858886434,496.2015334849493
gpt_neox.layers.20.mlp.dense_h_to_4h.weight,20,mlp,16384,4096,315.00164794921875,338.78533616964694,54.70573797273869
gpt_neox.layers.21.attention.dense.weight,21,attn,4096,4096,141.68348693847656,449.778799077655,265.86681582390753
gpt_neox.layers.21.attention.query_key_value.weight,21,attn,12288,4096,255.53160095214844,177.0011681943781,114.58841668053249
gpt_neox.layers.21.mlp.dense_4h_to_h.weight,21,mlp,4096,16384,278.8450927734375,604.6093959556863,394.7612308395502
gpt_neox.layers.21.mlp.dense_h_to_4h.weight,21,mlp,16384,4096,314.8594970703125,297.5983238463566,55.99450898691887
gpt_neox.layers.22.attention.dense.weight,22,attn,4096,4096,143.149169921875,518.9208305651657,224.7740253378154
gpt_neox.layers.22.attention.query_key_value.weight,22,attn,12288,4096,255.3816680908203,200.1944650137217,115.13838520501257
gpt_neox.layers.22.mlp.dense_4h_to_h.weight,22,mlp,4096,16384,286.2118835449219,621.7143052064223,389.5158557312135
gpt_neox.layers.22.mlp.dense_h_to_4h.weight,22,mlp,16384,4096,313.4901123046875,284.1726749621561,55.56014126495496
gpt_neox.layers.23.attention.dense.weight,23,attn,4096,4096,145.31716918945312,477.77689567091437,232.11721059413068
gpt_neox.layers.23.attention.query_key_value.weight,23,attn,12288,4096,256.10333251953125,209.2778184559377,111.23675411587402
gpt_neox.layers.23.mlp.dense_4h_to_h.weight,23,mlp,4096,16384,296.67181396484375,776.9289247349701,533.1622234481741
gpt_neox.layers.23.mlp.dense_h_to_4h.weight,23,mlp,16384,4096,313.995361328125,311.2212640569403,56.61373794994987
gpt_neox.layers.24.attention.dense.weight,24,attn,4096,4096,149.99530029296875,603.701101693586,250.7187638571944
gpt_neox.layers.24.attention.query_key_value.weight,24,attn,12288,4096,255.8568878173828,170.80875610568918,114.82206229857815
gpt_neox.layers.24.mlp.dense_4h_to_h.weight,24,mlp,4096,16384,307.07086181640625,897.9366506197981,475.1232478000142
gpt_neox.layers.24.mlp.dense_h_to_4h.weight,24,mlp,16384,4096,313.7124328613281,305.32388539697604,56.960844852272004
