name,layer,group,shape0,shape1,dW_fro,dW_stable_rank,W_stable_rank
gpt_neox.layers.2.attention.dense.weight,2,attn,4096,4096,0.0,0.0,258.1528010965703
gpt_neox.layers.2.attention.query_key_value.weight,2,attn,12288,4096,16.33196258544922,1.2417909623471544,82.26484790144966
gpt_neox.layers.2.mlp.dense_4h_to_h.weight,2,mlp,4096,16384,0.0,0.0,49.17114478119308
gpt_neox.layers.2.mlp.dense_h_to_4h.weight,2,mlp,16384,4096,0.0,0.0,31.77776093971011
gpt_neox.layers.20.attention.dense.weight,20,attn,4096,4096,0.0,0.0,234.94230275760063
gpt_neox.layers.20.attention.query_key_value.weight,20,attn,12288,4096,19.566892623901367,1.0437399665212876,107.54071033166477
gpt_neox.layers.20.mlp.dense_4h_to_h.weight,20,mlp,4096,16384,0.0,0.0,487.78501176044074
gpt_neox.layers.20.mlp.dense_h_to_4h.weight,20,mlp,16384,4096,0.0,0.0,54.705705245646755
gpt_neox.layers.21.attention.dense.weight,21,attn,4096,4096,0.0,0.0,234.96258980500082
gpt_neox.layers.21.attention.query_key_value.weight,21,attn,12288,4096,19.017349243164062,1.0505383811723248,114.60308257871421
gpt_neox.layers.21.mlp.dense_4h_to_h.weight,21,mlp,4096,16384,0.0,0.0,480.22848497178074
gpt_neox.layers.21.mlp.dense_h_to_4h.weight,21,mlp,16384,4096,0.0,0.0,55.994549637335346
gpt_neox.layers.22.attention.dense.weight,22,attn,4096,4096,0.0,0.0,251.28898439706236
gpt_neox.layers.22.attention.query_key_value.weight,22,attn,12288,4096,22.935302734375,1.0128582594403728,115.14014234012
gpt_neox.layers.22.mlp.dense_4h_to_h.weight,22,mlp,4096,16384,0.0,0.0,401.54724174528735
gpt_neox.layers.22.mlp.dense_h_to_4h.weight,22,mlp,16384,4096,0.0,0.0,55.56014126495496
gpt_neox.layers.23.attention.dense.weight,23,attn,4096,4096,0.0,0.0,231.8886711156208
gpt_neox.layers.23.attention.query_key_value.weight,23,attn,12288,4096,20.567649841308594,1.072369839303158,111.23077865799473
gpt_neox.layers.23.mlp.dense_4h_to_h.weight,23,mlp,4096,16384,0.0,0.0,540.5887317967532
gpt_neox.layers.23.mlp.dense_h_to_4h.weight,23,mlp,16384,4096,0.0,0.0,56.613696778952225
gpt_neox.layers.24.attention.dense.weight,24,attn,4096,4096,0.0,0.0,250.19000538556568
gpt_neox.layers.24.attention.query_key_value.weight,24,attn,12288,4096,21.115257263183594,1.0436427643197193,114.82181110797686
gpt_neox.layers.24.mlp.dense_4h_to_h.weight,24,mlp,4096,16384,0.0,0.0,617.6380580105375
gpt_neox.layers.24.mlp.dense_h_to_4h.weight,24,mlp,16384,4096,0.0,0.0,56.96089318024452
gpt_neox.layers.25.attention.dense.weight,25,attn,4096,4096,0.0,0.0,258.4805815269125
gpt_neox.layers.25.attention.query_key_value.weight,25,attn,12288,4096,19.51289176940918,1.1656028608910243,109.71983378613102
gpt_neox.layers.25.mlp.dense_4h_to_h.weight,25,mlp,4096,16384,0.0,0.0,540.7636408801537
gpt_neox.layers.25.mlp.dense_h_to_4h.weight,25,mlp,16384,4096,0.0,0.0,57.66710156515563
gpt_neox.layers.26.attention.dense.weight,26,attn,4096,4096,0.0,0.0,282.3100203920322
gpt_neox.layers.26.attention.query_key_value.weight,26,attn,12288,4096,20.172569274902344,1.0432148771789098,108.32589132306711
gpt_neox.layers.26.mlp.dense_4h_to_h.weight,26,mlp,4096,16384,0.0,0.0,720.7062717821365
gpt_neox.layers.26.mlp.dense_h_to_4h.weight,26,mlp,16384,4096,0.0,0.0,57.37150235197709
gpt_neox.layers.27.attention.dense.weight,27,attn,4096,4096,0.0,0.0,301.43185167915186
gpt_neox.layers.27.attention.query_key_value.weight,27,attn,12288,4096,18.500513076782227,1.1014158904003508,114.89440943619076
gpt_neox.layers.27.mlp.dense_4h_to_h.weight,27,mlp,4096,16384,0.0,0.0,590.2924569956011
gpt_neox.layers.27.mlp.dense_h_to_4h.weight,27,mlp,16384,4096,0.0,0.0,57.86081529399511
gpt_neox.layers.28.attention.dense.weight,28,attn,4096,4096,0.0,0.0,225.63982278416103
gpt_neox.layers.28.attention.query_key_value.weight,28,attn,12288,4096,21.942644119262695,1.0715871077974097,110.5847849605743
gpt_neox.layers.28.mlp.dense_4h_to_h.weight,28,mlp,4096,16384,0.0,0.0,655.4003878289166
gpt_neox.layers.28.mlp.dense_h_to_4h.weight,28,mlp,16384,4096,0.0,0.0,59.21488377399966
gpt_neox.layers.29.attention.dense.weight,29,attn,4096,4096,0.0,0.0,231.2980937752689
gpt_neox.layers.29.attention.query_key_value.weight,29,attn,12288,4096,25.098033905029297,1.022607232481351,122.27452167587266
gpt_neox.layers.29.mlp.dense_4h_to_h.weight,29,mlp,4096,16384,0.0,0.0,548.0164025751899
gpt_neox.layers.29.mlp.dense_h_to_4h.weight,29,mlp,16384,4096,0.0,0.0,61.69765867317626
gpt_neox.layers.3.attention.dense.weight,3,attn,4096,4096,0.0,0.0,222.5566023991656
gpt_neox.layers.3.attention.query_key_value.weight,3,attn,12288,4096,20.721452713012695,1.026741426268603,97.6795219823701
gpt_neox.layers.3.mlp.dense_4h_to_h.weight,3,mlp,4096,16384,0.0,0.0,283.39570746933964
gpt_neox.layers.3.mlp.dense_h_to_4h.weight,3,mlp,16384,4096,0.0,0.0,35.3059503046219
gpt_neox.layers.30.attention.dense.weight,30,attn,4096,4096,0.0,0.0,119.85593972407585
gpt_neox.layers.30.attention.query_key_value.weight,30,attn,12288,4096,24.97938346862793,1.0105709656222557,135.80754080666432
gpt_neox.layers.30.mlp.dense_4h_to_h.weight,30,mlp,4096,16384,0.0,0.0,454.60817274826024
gpt_neox.layers.30.mlp.dense_h_to_4h.weight,30,mlp,16384,4096,0.0,0.0,69.47525806473287
gpt_neox.layers.31.attention.dense.weight,31,attn,4096,4096,0.0,0.0,91.76982619693959
gpt_neox.layers.31.attention.query_key_value.weight,31,attn,12288,4096,0.0,0.0,173.4477500606243
gpt_neox.layers.31.mlp.dense_4h_to_h.weight,31,mlp,4096,16384,0.0,0.0,43.964339271660776
gpt_neox.layers.31.mlp.dense_h_to_4h.weight,31,mlp,16384,4096,0.0,0.0,61.660431809215055
gpt_neox.layers.4.attention.dense.weight,4,attn,4096,4096,0.0,0.0,170.647990307537
gpt_neox.layers.4.attention.query_key_value.weight,4,attn,12288,4096,25.216503143310547,1.011128548607517,97.28114901008337
gpt_neox.layers.4.mlp.dense_4h_to_h.weight,4,mlp,4096,16384,0.0,0.0,303.29723518406723
gpt_neox.layers.4.mlp.dense_h_to_4h.weight,4,mlp,16384,4096,0.0,0.0,38.58696873294123
gpt_neox.layers.5.attention.dense.weight,5,attn,4096,4096,0.0,0.0,242.33075988948627
gpt_neox.layers.5.attention.query_key_value.weight,5,attn,12288,4096,15.013775825500488,1.0833493864969888,92.45032391386614
gpt_neox.layers.5.mlp.dense_4h_to_h.weight,5,mlp,4096,16384,0.0,0.0,240.9950588698098
gpt_neox.layers.5.mlp.dense_h_to_4h.weight,5,mlp,16384,4096,0.0,0.0,40.88389439482175
gpt_neox.layers.6.attention.dense.weight,6,attn,4096,4096,0.0,0.0,233.1112368510544
gpt_neox.layers.6.attention.query_key_value.weight,6,attn,12288,4096,20.77828598022461,1.1011730613801674,99.72240033634297
gpt_neox.layers.6.mlp.dense_4h_to_h.weight,6,mlp,4096,16384,0.0,0.0,101.83977113681088
gpt_neox.layers.6.mlp.dense_h_to_4h.weight,6,mlp,16384,4096,0.0,0.0,42.74380705419655
gpt_neox.layers.7.attention.dense.weight,7,attn,4096,4096,0.0,0.0,332.7476335424601
gpt_neox.layers.7.attention.query_key_value.weight,7,attn,12288,4096,21.886518478393555,1.0840218591535329,110.65912334647108
gpt_neox.layers.7.mlp.dense_4h_to_h.weight,7,mlp,4096,16384,0.0,0.0,83.35501345272559
gpt_neox.layers.7.mlp.dense_h_to_4h.weight,7,mlp,16384,4096,0.0,0.0,45.33619664792989
gpt_neox.layers.8.attention.dense.weight,8,attn,4096,4096,0.0,0.0,300.9136979259986
gpt_neox.layers.8.attention.query_key_value.weight,8,attn,12288,4096,24.939693450927734,1.0397999862947191,94.92058175735835
gpt_neox.layers.8.mlp.dense_4h_to_h.weight,8,mlp,4096,16384,0.0,0.0,131.10205436478842
gpt_neox.layers.8.mlp.dense_h_to_4h.weight,8,mlp,16384,4096,0.0,0.0,45.78080938387403
gpt_neox.layers.9.attention.dense.weight,9,attn,4096,4096,0.0,0.0,210.43165197695308
gpt_neox.layers.9.attention.query_key_value.weight,9,attn,12288,4096,28.904529571533203,1.0188770109796388,97.73926773666152
gpt_neox.layers.9.mlp.dense_4h_to_h.weight,9,mlp,4096,16384,0.0,0.0,197.0710609197464
gpt_neox.layers.9.mlp.dense_h_to_4h.weight,9,mlp,16384,4096,0.0,0.0,46.993735425179246
