layer,group,dW_fro_layer,mean_dW_stable_rank,count_mats
0,attn,16.01557159423828,0.9847028618561641,2
0,mlp,0.0,0.0,2
1,attn,15.766653060913086,0.6829531942472881,2
1,mlp,0.0,0.0,2
2,attn,16.33196258544922,0.6208958002374994,2
2,mlp,0.0,0.0,2
3,attn,20.721452713012695,0.5133707131343015,2
3,mlp,0.0,0.0,2
4,attn,25.216503143310547,0.5055642743037585,2
4,mlp,0.0,0.0,2
5,attn,15.013775825500488,0.5416747639429509,2
5,mlp,0.0,0.0,2
6,attn,20.77828598022461,0.5505866352740558,2
6,mlp,0.0,0.0,2
7,attn,21.886518478393555,0.5420109295767664,2
7,mlp,0.0,0.0,2
8,attn,24.939693450927734,0.5198999931473596,2
8,mlp,0.0,0.0,2
9,attn,28.904529571533203,0.5094385054898194,2
9,mlp,0.0,0.0,2
10,attn,24.00333023071289,0.5301884819444875,2
10,mlp,0.0,0.0,2
11,attn,22.119356155395508,0.5293878471816653,2
11,mlp,0.0,0.0,2
12,attn,19.63727378845215,0.5523336129696447,2
12,mlp,0.0,0.0,2
13,attn,19.21990203857422,0.5540492734535688,2
13,mlp,0.0,0.0,2
14,attn,22.544410705566406,0.5157709210845689,2
14,mlp,0.0,0.0,2
15,attn,20.052623748779297,0.5513289652890137,2
15,mlp,0.0,0.0,2
16,attn,19.438386917114258,0.5298869895010512,2
16,mlp,0.0,0.0,2
17,attn,19.996206283569336,0.5254902009893987,2
17,mlp,0.0,0.0,2
18,attn,21.022768020629883,0.5200162388361216,2
18,mlp,0.0,0.0,2
19,attn,22.649587631225586,0.5054881847039006,2
19,mlp,0.0,0.0,2
20,attn,19.566892623901367,0.5218699832606438,2
20,mlp,0.0,0.0,2
21,attn,19.017349243164062,0.525269297141077,2
21,mlp,0.0,0.0,2
22,attn,22.935302734375,0.5064292134834877,2
22,mlp,0.0,0.0,2
23,attn,20.567649841308594,0.536184919651579,2
23,mlp,0.0,0.0,2
24,attn,21.115257263183594,0.5218213821598596,2
24,mlp,0.0,0.0,2
25,attn,19.51289176940918,0.5828014304455121,2
25,mlp,0.0,0.0,2
26,attn,20.172569274902344,0.5216074385894549,2
26,mlp,0.0,0.0,2
27,attn,18.500513076782227,0.5507078277446859,2
27,mlp,0.0,0.0,2
28,attn,21.942644119262695,0.5357936490882829,2
28,mlp,0.0,0.0,2
29,attn,25.098033905029297,0.5113036162406756,2
29,mlp,0.0,0.0,2
30,attn,24.97938346862793,0.5052854828111278,2
30,mlp,0.0,0.0,2
31,attn,0.0,0.0,2
31,mlp,0.0,0.0,2
